data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,type
222.83,160.93,164.76,188.23,180.06,199.55,181.32,248.62,206.05,546.03,333.75,385.1,196.37,381.46,152.28,197.47,42494,35087,31085,30052,29134,34321,35118,38660,43155,73572,61847,60846,34234,49706,32770,40661,1
217.24,179.1,163.33,194.18,180.7,194.72,181.92,254.83,247.39,465.74,294.95,346.32,180.57,355.33,162.84,209.76,43826,39227,30600,32379,31261,35354,35775,41968,48591,69315,61478,58810,33667,48211,34918,42782,1
198.78,177.63,157.55,190.77,165.09,186.01,188.33,251.31,240.21,451.54,313.41,329.17,171.08,360.76,154.34,196.77,42818,39797,31096,32579,28106,33751,37528,43278,47403,68535,63236,58982,32315,49842,34320,41385,1
192.64,177.21,158.81,158,143.5,152.59,185.69,232,256.26,407.34,309.01,316.97,164.72,282.08,150.12,200.37,42794,37581,33116,30176,27827,31856,36636,40477,47612,65740,61341,57289,31343,44240,32536,38279,1
193.76,173.93,159.93,156.9,156.73,157.48,174.01,219.95,217.54,425.08,334.06,310.41,168.26,295.6,140.64,201.34,41991,37135,34762,30301,28613,32197,35624,40556,45094,64836,58324,54475,33289,43414,30412,40212,1
502.56,487.47,344.89,328.27,282.42,364.88,415.04,457.92,632.79,1118.7,810.48,751.93,351.41,566.99,401.13,566.38,99859,1.03E+05,76833,61148,58159,67873,85810,88753,1.39E+05,1.77E+05,1.54E+05,1.36E+05,61655,91354,87142,1.16E+05,1
431.28,480.97,311.77,303.83,282.31,364.58,390.07,426.08,590.92,1022.6,789.43,734.23,333.15,547.59,350.43,501.99,90544,1.00E+05,72962,57519,55083,63995,80080,85433,1.24E+05,1.72E+05,1.49E+05,1.30E+05,57757,85709,76637,98881,1
402.64,440.11,290.37,291.41,279.13,325.89,364.07,388.91,545.2,987.64,736.26,648.63,306.89,565.01,334.19,475.95,83904,90968,68931,55984,52995,58524,75757,74778,1.16E+05,1.58E+05,1.41E+05,1.20E+05,57396,85465,71439,88028,1
377.96,390.52,261.4,306.78,274.74,297.48,340.71,418.03,500,999.56,698.26,632.4,305.44,596.53,305.98,437.39,81237,84139,63534,57251,51638,54963,71311,76630,99493,1.54E+05,1.36E+05,1.15E+05,56795,86907,62766,80905,1
360.2,400.36,276.89,337.78,267.82,289.82,352.99,395.6,450.79,957.99,698.18,686.23,294.99,604.21,272.24,375.64,75868,85761,67625,62058,51159,53574,66945,70927,91874,1.42E+05,1.31E+05,1.21E+05,56750,85080,60684,76144,1
371.12,388.83,280.32,340.23,246.81,266.47,335.35,406.19,426,919.03,679.15,662.09,277.18,568.26,256.4,359.1,76863,84440,67986,61901,46980,50828,64540,73187,83866,1.39E+05,1.24E+05,1.18E+05,52002,79510,54933,72372,1
368.39,387.31,285.89,321.14,218.44,271.17,326.31,386.39,425.04,848.94,715.09,620.02,251.65,542.79,257.57,347.73,74546,84242,68003,58867,43356,52486,62682,72598,84930,1.30E+05,1.23E+05,1.16E+05,49749,76063,55667,68144,1
398.14,344.39,281.93,347.76,253.18,279.9,341.61,367.99,414.17,845.92,650.93,502.65,245.52,562.9,259.78,331.38,76780,79245,63257,55893,45757,52886,63421,68476,83174,1.34E+05,1.19E+05,97693,48703,78799,53095,64468,1
373.06,357.49,290.4,337.56,256.03,274.47,338.19,359.65,396.63,844.05,632.88,520.89,256.17,546.36,247.83,317.43,73304,76332,63370,54875,48284,53153,60998,63761,79844,1.31E+05,1.20E+05,99694,52325,80854,52667,64448,1
322.67,321.44,256.34,331.41,249.98,262.33,323.27,308.76,370.01,762.48,563.4,473.96,241.77,555.76,245.28,318.04,64196,66480,55672,52043,45775,49025,57071,55536,76760,1.26E+05,1.14E+05,88257,49920,77549,50733,65012,1
273.41,320.21,232.52,271.65,210.47,211.06,261.49,313.18,391.69,763.1,563.67,542.62,225.29,529.8,246.28,331.66,61916,65647,53570,48767,44886,46006,51183,56379,81775,1.22E+05,1.09E+05,94472,46328,77600,51860,65032,1
280.72,288.09,210.82,246.81,204.88,221.49,254.49,301.85,410.05,688.9,565.26,489.48,216.6,512.21,275.87,361.34,58944,64264,50086,45400,41442,45936,52752,54332,84681,1.16E+05,1.09E+05,82192,43549,74087,55252,68495,1
300.34,300.43,224.12,250.79,201.27,223.64,278.62,329.42,415.92,663.62,571.35,549.71,233.92,498.54,284.4,392.21,62022,68702,51033,45375,42286,46995,58067,60925,88669,1.09E+05,1.14E+05,91116,44966,73866,58257,73594,1
347.72,297.18,218.65,243.1,194.22,235.94,295.91,322.2,408.25,621.8,565.42,472.52,237.63,439.87,294.96,423.09,67019,66116,49213,44730,39101,47194,62078,62236,89596,1.02E+05,1.11E+05,82807,46594,67793,56983,80053,1
373.13,288.98,229.57,265.66,206.56,241.72,331.92,353.73,411.62,653.78,572.38,487.24,240.68,444.12,309.94,431.34,71280,65898,49084,46063,42056,49828,66208,69905,90149,1.03E+05,1.07E+05,87565,46580,65481,57943,82861,1
363.12,257.55,228.54,284.84,229.44,255.35,328.17,347.5,430.88,713.95,573.34,484.39,236.49,517.13,328.4,415.59,71605,58900,49360,48042,43208,50170,61838,67810,89085,1.14E+05,1.01E+05,84960,44732,70530,58933,79013,1
311.67,227.93,229.87,283.22,231.04,249.77,315.93,329.55,412.38,717.13,540.94,466.49,222.47,506.79,311.01,397.19,64926,51621,46731,46182,41957,49582,58374,62707,83595,1.15E+05,97448,80654,41058,67897,58142,74604,1
271.76,222.53,200.84,259.69,216.03,239,268.27,305.87,395.14,712.83,491.76,446.63,224.29,494.3,287.48,377.96,60822,49625,43381,45228,39232,45904,52399,58605,80775,1.14E+05,92270,76163,40605,67610,54767,65539,1
262.57,230.89,203.82,218.94,188.38,210.42,226.63,301.42,358.52,653.03,457.25,385.27,206.07,389.88,252.28,357.1,56618,49251,43146,41072,37102,40517,46873,54415,76212,1.02E+05,86780,71182,38411,57050,49848,61034,1
243.47,242.68,210.16,213.59,179.71,199.4,196.61,305.56,314.38,596.07,422.6,377.07,199.3,408.78,243.22,321.35,51934,51413,43417,39995,36492,37896,43588,53214,66356,92945,81915,74633,38219,59711,46869,54067,1
233.56,233.32,219.47,216,179.01,205.84,215.89,296.35,306.32,503.88,432.89,414.75,187.67,441.21,223.33,323.18,52180,48469,44958,39012,37154,39339,45446,51028,62569,89776,85864,77156,38872,61128,46333,57591,1
232.14,232.63,215.26,213.58,184.17,232.22,243.84,278.63,301.18,534.65,436.54,417.14,203.41,444.85,200.63,319.39,50031,48009,45028,36908,36108,43063,49114,49390,59567,89981,82486,75771,41843,60790,42662,57018,1
239.95,217.19,204.53,212.48,182.26,242.13,253.4,263.75,328.11,572.83,453.88,409.18,197.24,433.67,193.35,317.96,50348,46150,43445,35882,35111,43503,51225,48556,62507,93548,84817,73615,41450,58090,42885,59279,1
217.78,228.36,188.88,194.34,173.1,222.76,229.15,233.31,299.98,580.34,431.36,341.37,190.44,354.88,189.66,288.18,44865,45840,39927,33146,33402,39005,46242,43780,57483,84257,74317,63763,39395,51614,40507,53188,1
192.12,216.83,198.67,189.83,163.45,192.32,207.92,210.03,263.35,524.81,411.74,351.3,168.57,311.94,186.96,232.02,42080,43739,40122,35192,32474,35151,42423,41629,51307,77812,73579,63612,34880,48922,39963,45075,1
183.64,219.12,195.07,176.71,152.61,174.4,191.45,201.44,247.1,499.64,403.54,344.99,162.25,266.19,175.74,221.94,42227,43353,39241,33522,30529,32445,38126,39016,46921,79231,73672,61255,32659,44074,37370,42097,1
191.88,207.82,200.44,177.2,154.97,171.18,198.64,217.64,249.59,505.24,405,384.5,172.11,332.75,164.12,210.98,42084,43180,39545,33977,30048,32159,38028,39696,46135,79000,78346,68399,33541,47126,36778,40737,1
199.06,208.82,175.62,195.13,160,174.89,198.5,226.03,259.32,499.42,379.75,356.76,178.24,357.02,158.76,202.91,41543,43015,36879,32033,30120,31996,38125,39015,46160,80782,74828,65002,34442,46938,35421,40399,1
198.49,200.93,160.74,196.9,166.36,170.89,207.15,238.68,246.09,469.06,428.09,358.49,182.28,382.24,167.72,208.17,39870,42813,35159,32233,30871,31996,39741,38465,49487,75374,79051,65058,35780,50232,35282,39648,1
193.05,206.44,155.99,215.24,160.99,183.95,206.92,232.2,235.76,462.34,438.45,360.17,171.42,352.73,165.65,188.37,37981,43049,33371,34177,29314,34117,39849,38725,47175,75244,78598,66740,34825,49737,33863,36764,1
192.85,212.37,166.85,191.96,143.42,188.82,193.43,216.74,222.25,457.78,459.31,384.96,167,333.78,162.9,188.11,39503,44491,33475,33251,27291,35022,38243,39593,46625,70170,81142,71990,34216,48183,34216,38011,1
408.36,334.8,263.19,305.29,261.29,270.88,346.01,418.65,499.33,940.87,677.44,641.02,313.52,594.79,375.04,520.1,81563,75611,64289,55309,49088,54083,71981,77566,1.05E+05,1.45E+05,1.37E+05,1.27E+05,60087,85044,74107,98762,1
